IngredientID,IngredientName,Proof
1730,Firewater,100
1731,Lemonade,
1732,Cognac,80
1733,Licorice root,
1734,Coconut milk,
1735,Mango syrup,
1736,Fresca,
1737,Cornstarch,
1738,Grapefruit,
1739,Creme de banane,
1740,Sausage,
1741,Blavod vodka,80
1742,Amarula Cream,34
1743,Peach nectar,
1744,Green Creme de Menthe,50
1745,V8 juice,
1746,Mezcal,
1747,Charleston Follies,40
1748,Strawberry juice,
1749,Nutmeg,
1750,Whiskey,80
1751,7-Up,
1752,Purple endive,
1753,Tropicana,
1754,Gold rum,
1755,Fluid extract of coca,
1756,Blackcurrant cordial,
1757,Dubonnet,38
1758,Tonic water,
1759,Mint,
1760,Alcohol,
1761,Kool-Aid,
1762,Lillet,
1763,Maui,30
1764,Sherbet,
1765,Malibu rum,48
1766,Egg,
1767,Thunderbird,36
1768,Parfait d'amour,
1769,Pucker,
1770,Light cream,
1771,Irish whiskey,80
1772,Rhubarb,
1773,Guava syrup,
1774,Lime liqueur,
1775,Green Curacao,60
1776,Bonded stock,
1777,Plums,
1778,Wild Spirit liqueur,90
1779,Apricot,
1780,Salt,
1781,Cherries,
1782,Seagram 7,80
1783,Chambord raspberry liqueur,33
1784,Cream of coconut,
1785,Blended whiskey,80
1786,Cocoa powder,
1787,Lime,
1788,Fanta,
1789,Pepper,
1790,Vanilla liqueur,
1791,Yukon Jack,100
1792,Fruit cocktail,
1793,Lemons,
1794,Guava juice,
1795,Cachaca,86
1796,Ricard,90
1797,Green Chartreuse,110
1798,Swiss Mocha Cream liqueur,
1799,Snapple,
1800,Everclear,190
1801,Horseradish,
1802,Banana,
1803,Apfelkorn,40
1804,Creme de fraise,
1805,George Dickel,90
1806,Molasses,
1807,Absolut Mandrin,80
1808,Egg yolk,
1809,Marshmallows,
1810,Mad Dog,15
1811,Grenadine,
1812,Ginger ale,
1813,Peychaud bitters,
1814,151 proof rum,151
1815,Grape soda,
1816,Angelica root,
1817,Dry Vermouth,36
1818,Egg white,
1819,Jalapeno,
1820,Strawberry syrup,
1821,Peach brandy,
1822,Yeast,
1823,Lager,
1824,Soy sauce,
1825,Cherry,
1826,RedRum,70
1827,Prune juice,
1828,Melon vodka,80
1829,Kiwi,
1830,Corn syrup,
1831,Marjoram leaves,
1832,Clove,
1833,Orange-flower water,
1834,Sherry,
1835,Bitters,
1836,Soy milk,
1837,Jägermeister,70
1838,Cola,
1839,Mint syrup,
1840,Advocaat,30
1841,Bitter lemon,
1842,Mandarin,
1843,Butterscotch schnapps,29
1844,Goldschlager,87
1845,Cherry Heering,43
1846,Wildberry schnapps,
1847,Shochu,40
1848,Absolut Vodka,80
1849,Cucumber,
1850,Kirschwasser,90
1851,Jack Daniels,90
1852,Kiwi liqueur,
1853,Anisette,
1854,Schnapps,
1855,Half-and-half,
1856,Mango juice,
1857,Berries,
1858,Cloves,
1859,Club soda,
1860,Tabasco sauce,
1861,Cinnamon schnapps,80
1862,Aquavit,80
1863,Jello,
1864,Stout,
1865,Blackberry schnapps,
1866,Grapefruit-lemon soda,
1867,Brown sugar,
1868,Tuaca,70
1869,Cranberry liqueur,
1870,Becherovka,76
1871,White rum,
1872,Carrot,
1873,Hot red peper flakes,
1874,Rumple Minze,100
1875,Midori melon liqueur,42
1876,Irish Mist,
1877,Cantaloupe,
1878,Pisco,90
1879,Pimm's No. 1,50
1880,Pumpkin,
1881,Glycerine,
1882,Watermelon liqueur,
1883,Cardamom,
1884,Heavy cream,
1885,Ginger beer,
1886,Passoa,40
1887,Vanilla syrup,
1888,Tennessee whiskey,
1889,Grape schnapps,
1890,Iced tea,
1891,Raspberry jam,
1892,Yoghurt,
1893,Caramel,
