ComponentID,DrinkID,IngredID,NumUnitsMin,DisplayBeforeName
630,121,1943,2,2 oz
631,121,1885,4,4 oz
632,121,2123,1,1 twist of
633,122,1943,1,1 oz
634,122,2078,1,1 oz
635,122,2174,1,1 oz
636,122,2153,0.5,1/2 oz
637,122,1812,3,3 oz
638,122,2123,1,1 twist of
639,123,2152,1.5,1 1/2 oz
640,123,2133,1,1 oz
641,124,2105,1.5,1 1/2 oz
642,124,2162,1,1 dash
643,124,2055,0.25,Juice of 1/4
644,124,1825,1,1
645,125,2116,1.5,1 1/2 oz
646,125,1743,2,2 oz
647,125,2174,3,3 oz
648,126,1943,1.5,1 1/2 oz
649,126,1942,1.5,1 1/2 tsp
650,126,1915,1,1 tblsp
651,126,2206,1,1 tsp
652,126,1818,1,1
653,126,1759,1,1 sprig
654,127,2116,2,2 oz
655,127,2153,1,1 oz
656,127,1811,1,1 tsp
657,128,2112,0.75,3/4 oz
658,128,1834,1.5,1 1/2 oz
659,128,2162,1,1 dash
660,129,1894,2,2 oz
661,129,2174,2,2 oz
662,129,2101,2,2 oz
663,129,1859,,
664,130,2107,1.5,1 1/2 oz
665,130,2112,1,1 oz
666,130,1817,1,1 oz
667,130,2162,2,2 dashes
668,131,1960,1,1 oz
669,131,1942,1,1 oz
670,131,1787,1,Juice of 1
671,131,1787,1,1 wedge
672,132,1942,1,1 oz
673,132,1960,1,1 oz
674,132,2153,0.5,1/2 tsp
675,133,2071,1,1 oz
676,133,2104,1,1 oz
677,133,2097,0.5,1/2 oz
678,133,2153,1,1 dash
679,134,2162,2,2 dashes
680,134,2105,1.5,1 1/2 oz
681,134,1936,0.75,3/4 oz
682,134,2123,,twists of
683,135,2105,0.5,1/2 oz
684,135,2062,0.5,1/2 oz
685,135,1770,2,2 oz
686,135,1749,,
687,136,2105,1,1 oz
688,136,2062,1,1 oz
689,136,1770,1,1 oz
690,136,1749,,
691,137,1921,1,1 oz
692,137,2062,1,1 oz
693,137,1770,1,1 oz
694,137,1749,,
695,138,2105,2,2 oz
696,138,2026,0.5,1/2 oz
697,138,1884,0.5,1/2 oz
698,139,2105,1.5,1 1/2 oz
699,139,1744,1,1 oz
700,139,1884,1,1 oz
701,139,1749,0.12,1/8 tsp
702,140,2136,1.5,1 1/2 oz
703,140,1942,1,1 dash
704,140,1990,1,1 tblsp
705,141,1785,1.5,1 1/2 oz
706,141,1817,1,1 oz
707,141,1990,1,1 oz
708,142,1817,1,1 oz
709,142,1978,1,1 oz
710,142,1903,1.5,1 1/2 tsp
711,142,2153,1.5,1 1/2 tsp
712,142,2123,1,1 twist of
713,143,1817,1,1 oz
714,143,2105,1,1 oz
715,143,2089,0.5,1/2 tsp
716,144,2116,2,2 oz
717,144,1994,1,1 oz
718,144,1818,1,1
719,145,2104,0.5,1/2 oz
720,145,2062,0.5,1/2 oz
721,145,1770,2,2 oz
722,146,2104,1.5,1 1/2 oz
723,146,1770,1.5,1 1/2 oz
724,147,2104,1.5,1 1/2 oz
725,147,1787,1,1 wedge
726,148,2104,1.5,1 1/2 oz
727,148,1915,0.5,1/2 oz
728,148,1859,,
729,149,2104,1.5,1 1/2 oz
730,149,1934,0.75,3/4 oz
731,150,1979,6,6 oz
732,150,2104,2,2 oz
733,150,2161,,
734,151,2152,1,1 oz
735,151,1921,1,1 oz
736,151,1942,1,1 dash
737,151,2163,1,Juice of 1
738,151,2024,,
739,152,1811,1,1 tsp
740,152,1947,1.5,1 1/2 oz
741,152,1787,1,Juice of 1
742,153,1921,1,1 oz
743,153,1817,0.5,1/2 oz
744,153,1934,0.25,1/4 tsp
745,153,2174,1,1 oz
746,153,1811,1,1 tsp
747,153,2180,0.5,1/2 oz
748,154,1943,0.5,1/2 oz
749,154,1834,1.5,1 1/2 oz
750,154,1921,0.5,1/2 oz
751,155,1960,0.5,1/2 oz
752,155,2177,0.5,1/2 oz
753,155,2105,1,1 oz
754,156,2062,0.25,1/4 oz
755,156,2097,0.25,1/4 oz
756,156,1921,0.25,1/4 oz
757,156,1770,0.25,1/4 oz
758,157,2062,0.5,1/2 oz
759,157,1921,0.5,1/2 oz
760,157,1770,1,1 tblsp
761,158,2105,1.5,1 1/2 oz
762,158,1811,1,1 dash
763,158,1835,2,2 dashes
764,158,2162,3,3 dashes
765,159,2177,1,1 oz
766,159,1942,0.5,1/2 oz
767,159,1757,1,1 oz
768,160,1757,1.5,1 1/2 oz
769,160,1817,1.5,1 1/2 oz
770,161,2177,2,2 oz
771,161,2163,0.5,Juice of 1/2
772,161,1965,1,1 tsp
773,161,1818,1,1
774,161,1948,,
775,162,2177,2,2 oz
776,162,1948,,
777,162,2123,1,1 twist of
778,163,2177,2,2 oz
779,163,1965,0.5,1/2 tsp
780,163,2163,0.5,Juice of 1/2
781,163,2163,0.5,1/2 slice
782,163,1825,1,1
783,164,2178,2,2 oz
784,164,1784,1,1 oz
785,164,1855,1,1 oz
786,164,2012,1,1 slice
787,164,1825,1,1
788,165,1943,1,1 oz
789,165,2112,0.5,1/2 oz
790,165,2152,1,1 tsp
791,165,2153,1,1 tsp
792,165,1811,0.5,1/2 tsp
793,166,1943,0.75,3/4 oz
794,166,2152,0.75,3/4 oz
795,166,1787,0.25,4-Jan
796,166,1948,,
797,167,2152,1,1 oz
798,167,1942,1,1 oz
799,167,2153,1,1 oz
800,168,2078,1.5,1 1/2 oz
801,168,2152,0.5,1/2 oz
802,168,1915,2,2 tsp
803,168,1859,2,2 oz
804,169,1960,0.5,1/2 oz
805,169,2105,1.5,1 1/2 oz
806,169,1853,1.5,1 1/2 tsp
807,169,2153,1,1 tblsp
808,169,1948,,
809,169,2163,1,1 slice
810,170,2105,1,1 tsp
811,170,1960,1.5,1 1/2 oz
812,170,2163,0.25,Juice of 1/4
813,170,2055,0.25,Juice of 1/4
814,171,1943,1.5,1 1/2 oz
815,171,1960,1,1 oz
816,171,1942,1,1 tsp
817,171,2153,0.5,1/2 oz
818,171,1818,1,1
819,171,2055,1,1 slice
820,172,2105,1.5,1 1/2 oz
821,172,2208,0.5,1/2 oz
822,172,1739,0.5,1/2 oz
823,172,2133,0.5,1/2 oz
824,173,2105,2,2 oz
825,173,1910,1,1 oz
826,173,2080,1,1 tsp
827,173,1787,1,1 wedge
828,174,2024,,
829,174,1744,1,1 tsp
830,175,2105,2,2 oz
831,175,2044,0.5,1/2 oz
832,175,2153,2,2 tsp
833,175,2123,1,1 twist of
834,176,2112,1.5,1 1/2 tsp
835,176,2105,1.5,1 1/2 oz
836,176,1835,2,2 dashes
837,177,1921,0.5,1/2 oz
838,177,2080,0.5,1/2 oz
839,178,1960,1.5,1 1/2 oz
840,178,2105,1,1 tsp
841,178,1770,1,1 tblsp
842,179,1943,1.75,1 3/4 oz
843,179,1915,1,1 oz
844,179,2086,0.5,1/2 tsp
845,179,1811,1,1 dash
846,180,1969,0.25,1/4 oz
847,180,2116,0.5,1/2 oz
848,180,2146,0.5,1/2 oz
849,180,1814,0.25,1/4 oz
850,180,2163,0.5,Juice of 1/2
851,180,1990,4,4 oz
852,181,2107,1.5,1 1/2 oz
853,181,2112,0.5,1/2 oz
854,181,1817,0.5,1/2 oz
855,181,1835,2,2 dashes
856,182,1921,1,1 oz
857,182,1853,1,1 oz
858,182,1818,1,1
859,183,2033,1,1 oz
860,183,1921,1,1 oz
861,183,2072,1,1 oz
862,183,1766,1,1
863,183,1965,1,1 tsp
864,183,1988,0.75,3/4 cup
865,184,1943,1,1 oz
866,184,1739,1,1 oz
867,184,2151,1.5,1 1/2 oz
868,184,1811,1,1 dash
869,184,1802,1,1 slice
870,184,1749,,
871,185,1943,1.5,1 1/2 oz
872,185,1942,1,1 tblsp
873,185,1802,1,1
874,185,1915,1.5,1 1/2 oz
875,185,2206,1,1 tsp
876,185,1825,1,1
877,186,1960,1.5,1 1/2 tsp
878,186,2045,2,2 oz
879,186,1787,0.5,Juice of 1/2
880,186,1802,0.5,1/2 slice
881,186,1948,,
882,186,1759,2,2 sprigs
883,187,2116,1.5,1 1/2 oz
884,187,1739,0.5,1/2 oz
885,187,1770,1,1 oz
886,188,2107,0.5,1/2 oz
887,188,2105,0.5,1/2 oz
888,188,2033,0.5,1/2 oz
889,188,2062,0.5,1/2 oz
890,188,1770,0.5,1/2 oz
891,189,1817,0.5,1/2 oz
892,189,2112,0.5,1/2 tsp
893,189,1942,1.5,1 1/2 tsp
894,189,2105,1.5,1 1/2 oz
895,189,2163,1,1 wedge
896,190,2116,1.5,1 1/2 oz
897,190,2208,0.5,1/2 oz
898,190,2216,2,2 tsp
899,190,2211,4,4 oz
900,190,2156,,
901,191,2152,0.5,1/2 oz
902,191,2105,0.25,1/4 oz
903,191,2107,0.25,1/4 oz
904,192,2078,1.5,1 1/2 oz
905,192,1757,0.5,1/2 oz
906,192,2044,0.5,1/2 oz
907,192,1835,2,2 dashes
908,193,1795,2,2 oz
909,193,2212,4,4 oz
910,193,2206,0.5,1/2 tsp
911,193,2156,1,1 cup
912,194,1795,2,2 oz
913,194,1913,4,4 oz
914,194,2206,2,2 tsp
915,194,2156,1,1 cup
916,195,1795,2,2 oz
917,195,2076,5,5
918,195,2206,0.5,1/2 tsp
919,195,2156,1,1 cup
920,196,2206,2,2 tsp
921,196,1787,1,1 wedge
922,196,1943,2,2 oz
923,196,1905,1,1 tsp
924,196,1908,1,1 tsp
925,196,1915,0.5,1/2 oz
926,197,1817,1.5,1 1/2 oz
927,197,2107,1.5,1 1/2 oz
928,198,1817,0.5,1/2 oz
929,198,2112,0.5,1/2 oz
930,198,2107,1.5,1 1/2 oz
931,199,2112,0.5,1/2 oz
932,199,1817,0.5,1/2 oz
933,199,2105,1,1 oz
934,199,2174,1,1 tsp
935,199,1811,1,1 dash
936,200,1903,1.5,1 1/2 oz
937,200,1934,0.5,1/2 oz
938,201,2105,1.5,1 1/2 oz
939,201,1942,1,1 oz
940,201,1960,1,1 oz
941,201,2153,2,2 tsp
942,202,1921,1.5,1 1/2 oz
943,202,1905,0.5,1/2 oz
944,202,1942,0.5,1/2 oz
945,202,1990,1,1 oz
946,202,1835,2,2 dashes
947,203,2105,1.5,1 1/2 oz
948,203,1787,0.5,Juice of 1/2
949,203,1965,0.5,1/2 tsp
950,203,2162,2,2 dashes
951,204,2177,1.5,1 1/2 oz
952,204,1757,1,1 oz
953,204,2123,1,1 twist of
954,205,1921,0.75,3/4 oz
955,205,2105,0.75,3/4 oz
956,205,1817,0.75,3/4 oz
957,205,1948,,
958,205,2123,,twists of
959,206,1960,1.5,1 1/2 tsp
960,206,2105,1.25,1 1/4 oz
961,206,1811,1.5,1 1/2 tsp
962,207,2105,2,2 oz
963,207,1942,0.5,1/2 oz
964,207,2153,2,2 tsp
965,207,1835,2,2 dashes
966,207,2123,1,1 twist of
