Drink_ID,Name,Ingredients
121,A Furlong Too Late,1885;1943;2123;
122,A Night In Old Mandalay,1812;1943;2078;2123;2153;2174;
123,A. J.,2133;2152;
124,Abbey Cocktail,1825;2055;2105;2162;
125,Abilene,1743;2116;2174;
126,Acapulco,1759;1818;1915;1942;1943;2206;
127,Adam,1811;2116;2153;
128,Adonis Cocktail,1834;2112;2162;
129,Affair,1859;1894;2101;2174;
130,Affinity,1817;2107;2112;2162;
131,After Dinner Cocktail,1787;1787;1942;1960;
132,After Supper Cocktail,1942;1960;2153;
133,Alabama Slammer,2071;2097;2104;2153;
134,Alaska Cocktail,1936;2105;2123;2162;
135,Alexander,1749;1770;2062;2105;
136,Alexander Cocktail No. 1,1749;1770;2062;2105;
137,Alexander Cocktail No. 2,1749;1770;1921;2062;
138,Alexander's Big Brother,1884;2026;2105;
139,Alexander's Sister,1744;1749;1884;2105;
140,Alfie Cocktail,1942;1990;2136;
141,Algonquin,1785;1817;1990;
142,Allegheny,1817;1903;1978;2123;2153;
143,Allies Cocktail,1817;2089;2105;
144,Almeria,1818;1994;2116;
145,Almond Joy,1770;2062;2104;
146,Amaretto And Cream,1770;2104;
147,Amaretto Mist,1787;2104;
148,Amaretto Rose,1859;1915;2104;
149,Amaretto Stinger,1934;2104;
150,Amaretto Tea,1979;2104;2161;
151,Ambrosia,1921;1942;2024;2152;2163;
152,Amer Picon Cocktail,1787;1811;1947;
153,American Beauty,1811;1817;1921;1934;2174;2180;
154,Andalusia,1834;1921;1943;
155,Angel Face,1960;2105;2177;
156,Angel's Kiss,1770;1921;2062;2097;
157,Angel's Wing,1770;1921;2062;
158,Angler's Cocktail,1811;1835;2105;2162;
159,Ante,1757;1942;2177;
160,Antoine Special,1757;1817;
161,Apple Blow Fizz,1818;1948;1965;2163;2177;
162,Apple Brandy Highball,1948;2123;2177;
163,Apple Brandy Sour,1825;1965;2163;2163;2177;
164,Apple Colada,1784;1825;1855;2012;2178;
165,Apple Pie,1811;1943;2112;2152;2153;
166,Apple Rum Rickey,1787;1943;1948;2152;
167,Applecar,1942;2152;2153;
168,Appled Rum Cooler,1859;1915;2078;2152;
169,Apricot Anise Collins,1853;1948;1960;2105;2153;2163;
170,Apricot Cocktail,1960;2055;2105;2163;
171,Apricot Lady,1818;1942;1943;1960;2055;2153;
172,Arcadia,1739;2105;2133;2208;
173,Archbishop,1787;1910;2080;2105;
174,Arise My Love,1744;2024;
175,Arthur Tompkins,2044;2105;2123;2153;
176,Artillery,1835;2105;2112;
177,B And B,1921;2080;
178,Babbie's Special Cocktail,1770;1960;2105;
179,Bacardi Cocktail,1811;1915;1943;2086;
180,Bahama Mama,1814;1969;1990;2116;2146;2163;
181,Balmoral,1817;1835;2107;2112;
182,Baltimore Bracer,1818;1853;1921;
183,Baltimore Eggnog,1766;1921;1965;1988;2033;2072;
184,Banana Cow,1739;1749;1802;1811;1943;2151;
185,Banana Daiquiri,1802;1825;1915;1942;1943;2206;
186,Banana Punch #1,1759;1787;1802;1948;1960;2045;
187,Banana Rum Cream,1739;1770;2116;
188,Barbary Coast,1770;2033;2062;2105;2107;
189,Baron Cocktail,1817;1942;2105;2112;2163;
190,Barrier Breaker,2116;2156;2208;2211;2216;
191,Barton Special,2105;2107;2152;
192,Basic Bill,1757;1835;2044;2078;
193,Batida Abacaxi,1795;2156;2206;2212;
194,Batida Mango,1795;1913;2156;2206;
195,Batida Morango,1795;2076;2156;2206;
196,Beachcomber,1787;1905;1908;1915;1943;2206;
197,Beadlestone Cocktail,1817;2107;
198,Beal's Cocktail,1817;2107;2112;
199,Beauty Spot Cocktail,1811;1817;2105;2112;2174;
200,Bee Stinger,1903;1934;
201,Belles Of St. Mary's,1942;1960;2105;2153;
202,Bengal,1835;1905;1921;1942;1990;
203,Bennett Cocktail,1787;1965;2105;2162;
204,Bentley,1757;2123;2177;
205,Bermuda Highball,1817;1921;1948;2105;2123;
206,Bermuda Rose,1811;1960;2105;
207,Bernardo,1835;1942;2105;2123;2153;
208,Betsy Ross 1,1921;1942;2156;2180;
209,Between The Sheets,1921;1942;1943;2153;
210,Biffy Cocktail,2017;2105;2163;
211,Bijou Cocktail,1797;1825;2105;2112;2162;
212,Bikini,1943;1988;2045;2123;2163;2206;
